"Issue Type","Summary","Epic Link","Description","Acceptance Criteria","Tasks","Story Points","Priority","Labels","Sprint","Status"
"Story","US-6.5 Move/resize/collapse","E6 Floating Widget UI/UX","Drag, resize, and collapse the widget so it fits the rep screen.","Draggable region; min sizes enforced; collapse to compact bar","CSS app-region; resize handles; collapse state","3","Medium","ui should","Sprint 3","To Do"
"Story","US-6.6 Visual states & motion","E6 Floating Widget UI/UX","Clear listening/searching/idle states so the rep trusts what it is doing.","Distinct visuals per state; subtle animation; searching indicator","State-driven styles; framer-motion transitions","2","Low","ui could","Sprint 3","To Do"
"Story","US-7.1 Intent detector","E7 Intent Detection & Work IQ Grounding","Keyword detection of 8 sales intents on customer finals so only meaningful questions trigger lookups.","Detects pricing/security/sla/contract/integration/compliance/competitor/discount; ignores rep speech","IntentDetector; keyword map; unit tests","3","High","workiq must","Sprint 3","Done"
"Story","US-7.2 Client interface + factory","E7 Intent Detection & Work IQ Grounding","WorkIqClient interface with a factory so mock/real are swappable by config.","Factory returns mock by default; WORKIQ_MODE real + config selects real client","WorkIqClient interface; createWorkIqClient factory; mode switch","2","High","workiq must","Sprint 3","Done"
"Story","US-7.3 Mock client","E7 Intent Detection & Work IQ Grounding","Canned grounded answers with realistic latency so the demo runs with zero dependencies.","Each intent returns answer + 1-2 citations; 1.5-3s simulated latency","MockWorkIqClient; canned dataset; latency sim","2","High","workiq must","Sprint 3","Done"
"Story","US-7.4 Cold-path orchestration","E7 Intent Detection & Work IQ Grounding","Lookups never block transcription so the call stays smooth.","Intent -> async query; workiq:status + workiq:result events; errors swallowed with log","Orchestrator cold path; status/result emits; error handling","3","High","workiq must","Sprint 3","Done"
"Story","US-7.5 Result card with citations","E7 Intent Detection & Work IQ Grounding","Answer plus clickable sources so the rep can trust and cite it.","Answer text + source list (title + kind icon + link); spinner while pending","Result card; citation list; source-kind icons","3","High","workiq must ui","Sprint 3","Done"
"Story","US-8.1 Provision Azure AI Search","E8 Knowledge Base & RAG Pipeline","Create an Azure AI Search service so we can index and query documents.","Service created in rg-workiq-sales-copilot (Free default; Basic if semantic ranker); admin key + endpoint recorded","az search service create; capture endpoint + key; add to .env; note tier trade-offs","3","High","rag azure-search must","Sprint 3","To Do"
"Story","US-8.2 Deploy embedding model","E8 Knowledge Base & RAG Pipeline","Deploy text-embedding-3-small so we can vectorize text.","Deployment created; quota confirmed (eastus); test embedding returns a vector","az deployment create; smoke-test embedding; env AZURE_OPENAI_EMBED_DEPLOYMENT","2","High","rag azure-search must openai","Sprint 3","To Do"
"Story","US-8.3 Index schema (vector)","E8 Knowledge Base & RAG Pipeline","Search index with a vector field and citation metadata so hybrid search returns sources.","Fields id, content, contentVector HNSW, title, url, sourceKind; vector profile configured","Index JSON definition; create via SDK/REST; verify in portal","3","High","rag azure-search must","Sprint 3","To Do"
"Story","US-8.4 Sample knowledge base","E8 Knowledge Base & RAG Pipeline","Realistic docs covering all 8 intents so answers are convincing.","knowledge/ folder with >=8 docs (pricing, security, sla, contract, integration, compliance, competitor, discount); each has title + url","Author/collect docs; front-matter title/url/kind; review for realism","3","High","rag must","Sprint 3","To Do"
"Story","US-8.5 Ingestion pipeline","E8 Knowledge Base & RAG Pipeline","npm run ingest loads docs into the index so content is searchable.","Reads pdf/docx/md/txt; chunks ~500 tokens overlap; embeds; upserts stable IDs idempotent; logs counts/failures","File loader; chunker; embeddings client; batch upload; npm script","5","High","rag azure-search must","Sprint 3","To Do"
"Story","US-8.6 SearchWorkIqClient (RAG)","E8 Knowledge Base & RAG Pipeline","Real grounded answers so the rep can trust the copilot on a live call.","Embeds query -> hybrid search -> top-k -> gpt-4.1-mini answers from context only -> answer+sources; no hits returns safe answer","Query embed; search call; grounding prompt cite-only; map hits to WorkIqSource; timeout/fallback","5","High","rag azure-search must openai","Sprint 3","To Do"
"Story","US-8.7 Wire factory + config","E8 Knowledge Base & RAG Pipeline","WORKIQ_MODE switches to the Search client so real mode is one env change.","New env vars read in env.ts; factory selects SearchWorkIqClient when configured; .env.example updated","Extend env.ts; update factory; update .env.example; docs","2","High","rag must","Sprint 3","To Do"
"Story","US-8.8 Citation fidelity","E8 Knowledge Base & RAG Pipeline","Accurate titles/links on sources so citations are credible.","Each source shows correct title, working URL, and sourceKind mapped from index metadata","Metadata mapping; URL validation; kind inference","2","Medium","rag should ui","Sprint 3","To Do"
"Story","US-8.9 Grounding quality eval","E8 Knowledge Base & RAG Pipeline","Validate answers across the 8 intents so we trust the demo.","Test set of >=8 questions; each returns a relevant answer + correct citation; failures triaged","Question set; manual/scripted eval; tune chunking/top-k/prompt","3","Medium","rag should","Sprint 4","To Do"
"Story","US-9.1 Structured debug bus","E9 Observability & Dev Inspector","Structured events per pipeline stage so behavior can be traced.","DebugEvent level/category/message/data emitted for audio/speech/intent/workiq/memory/tactic","DebugBus; emit points; ring buffer","3","Medium","observability should","Sprint 4","Done"
"Story","US-9.2 Metrics snapshot","E9 Observability & Dev Inspector","Counters/gauges ~1/s so stalls can be spotted.","DebugMetrics snapshot; counters (segments, lookups) + gauges (compiling, searching)","Metrics collector; periodic snapshot","2","Low","observability could","Sprint 4","Done"
"Story","US-9.3 Inspector window","E9 Observability & Dev Inspector","A dev-only window showing events/metrics so the pipeline can be debugged live.","Dev-only window; backfill on open; live updates","Inspector window; DebugInit backfill; live stream","3","Medium","observability should","Sprint 4","Done"
"Story","US-9.4 Synthetic transcript inject","E9 Observability & Dev Inspector","Inject fake utterances so testing works without talking.","Inspector pushes a finalized utterance as Rep/Customer into the pipeline","DebugTestTranscript channel; inject handler","2","Medium","observability should","Sprint 4","Done"
"Story","US-9.5 Force memory/tactic","E9 Observability & Dev Inspector","Force a compile/tactic so the rep can demo on demand.","Buttons trigger DebugForceMemory / DebugForceTactic","Force channels; handlers","1","Low","observability could","Sprint 4","Done"
"Story","US-10.1 Env loading (main only)","E10 Security, Config & Secrets","Secrets loaded only in main via dotenv so the renderer never sees keys.",".env loaded from app folder then repo root; .env.example documents all vars","dotenv load order; .env.example; config module","2","High","security must","Sprint 4","Done"
"Story","US-10.2 No secrets to renderer","E10 Security, Config & Secrets","Verified preload contract exposing only callbacks so keys cannot leak.","Preload exposes no secret values; review confirms renderer has no key access; CSP set","Audit preload surface; add CSP; document boundary","3","High","security must","Sprint 4","To Do"
"Story","US-10.3 Secret hygiene","E10 Security, Config & Secrets",".env gitignored and rotation noted so secrets are not committed.","gitignore covers .env*; README notes key rotation; no secrets in history","Verify gitignore; add rotation note; scan history","1","High","security must","Sprint 4","Done"
"Story","US-10.4 Cost guardrail","E10 Security, Config & Secrets","Budget alert on the resource group so spend is monitored.","Monthly budget with email alerts at 50/80/100% on rg-workiq-sales-copilot","az consumption budget (done: 350/mo, 50/80/100%)","2","Medium","security should azure","Sprint 4","Done"
"Story","US-10.5 Data handling & consent","E10 Security, Config & Secrets","Recording/consent and PII handling addressed so the PoC is responsible.","Demo uses synthetic data; notice covers recording consent; no real customer data indexed without approval","Consent notice; data-source policy; redaction note","2","Medium","security should","Sprint 4","To Do"
"Story","US-11.1 Production build & package","E11 Packaging, Demo Readiness & Documentation","Packaged build so the demo runs without a dev server.","build (vite + tsup) passes; electron-builder produces a runnable artifact; packaged app loads built widget","Build scripts; electron-builder config; verify packaged load path","3","Medium","demo should","Sprint 4","To Do"
"Story","US-11.2 README & setup guide","E11 Packaging, Demo Readiness & Documentation","Clear setup docs so a new dev can run it in minutes.","README covers install, .env setup, run, troubleshooting incl. known gotchas","Write README; env table; troubleshooting section","2","High","demo must","Sprint 4","To Do"
"Story","US-11.3 Demo script & sample call","E11 Packaging, Demo Readiness & Documentation","Scripted call hitting each feature so the demo is repeatable.","10-min script triggers transcription, memory, a tactic, and >=1 grounded answer with citation","Write script; prep sample audio/Teams call; dry-run","3","High","demo must","Sprint 4","To Do"
"Story","US-11.4 Smoke-test checklist","E11 Packaging, Demo Readiness & Documentation","Pre-demo checklist so breakage is caught early.","Checklist verifies install, keys, both audio sources, overlay z-order, RAG answer","Author checklist; run before each demo","2","Medium","demo should","Sprint 4","To Do"
"Story","US-11.5 Known limitations & next steps","E11 Packaging, Demo Readiness & Documentation","Documented limits and a roadmap so expectations are set.","Doc lists PoC limits (auth, single locale, no persistence) and a path to production","Limitations list; roadmap bullets","1","Low","demo could","Sprint 4","To Do"
